id:ID,:LABEL,node_type,name,ts_code,industry,industry_name,is_st:boolean,company_count:long
IND_SW_480301,Industry,industry,股份制银行Ⅱ,,,,,9
IND_SW_430101,Industry,industry,房地产开发,,,,,69
IND_SW_710402,Industry,industry,SW_710402,,,,,35
IND_SW_450304,Industry,industry,SW_450304,,,,,14
IND_SW_640501,Industry,industry,轨交设备Ⅱ,,,,,33
IND_SW_630702,Industry,industry,电池,,,,,44
IND_SW_620307,Industry,industry,SW_620307,,,,,21
IND_SW_610201,Industry,industry,SW_610201,,,,,7
IND_SW_330106,Industry,industry,白色家电,,,,,7
IND_SW_350301,Industry,industry,饰品,,,,,13
IND_SW_110502,Industry,industry,SW_110502,,,,,7
IND_SW_270301,Industry,industry,光学光电子,,,,,38
IND_SW_270504,Industry,industry,消费电子,,,,,88
IND_SW_510101,Industry,industry,综合Ⅱ,,,,,15
IND_SW_410101,Industry,industry,电力,,,,,28
IND_SW_370402,Industry,industry,医药商业,,,,,24
IND_SW_280203,Industry,industry,汽车零部件,,,,,104
IND_SW_430102,Industry,industry,SW_430102,,,,,10
IND_SW_620404,Industry,industry,专业工程,,,,,20
IND_SW_710301,Industry,industry,IT服务Ⅱ,,,,,132
IND_SW_760103,Industry,industry,SW_760103,,,,,35
IND_SW_640108,Industry,industry,通用设备,,,,,82
IND_SW_110702,Industry,industry,养殖业,,,,,12
IND_SW_630701,Industry,industry,SW_630701,,,,,31
IND_SW_610303,Industry,industry,装修建材,,,,,17
IND_SW_430301,Industry,industry,房地产服务,,,,,7
IND_SW_750301,Industry,industry,SW_750301,,,,,10
IND_SW_240303,Industry,industry,SW_240303,,,,,14
IND_SW_270401,Industry,industry,其他电子Ⅱ,,,,,33
IND_SW_730204,Industry,industry,通信设备,,,,,36
IND_SW_620403,Industry,industry,SW_620403,,,,,4
IND_SW_710103,Industry,industry,计算机设备,,,,,63
IND_SW_760104,Industry,industry,SW_760104,,,,,15
IND_SW_730205,Industry,industry,SW_730205,,,,,12
IND_SW_421102,Industry,industry,SW_421102,,,,,16
IND_SW_421002,Industry,industry,SW_421002,,,,,4
IND_SW_750302,Industry,industry,SW_750302,,,,,6
IND_SW_421001,Industry,industry,航空机场,,,,,8
IND_SW_450201,Industry,industry,贸易Ⅱ,,,,,13
IND_SW_370102,Industry,industry,化学制药,,,,,111
IND_SW_410107,Industry,industry,SW_410107,,,,,14
IND_SW_721001,Industry,industry,电视广播Ⅱ,,,,,15
IND_SW_640601,Industry,industry,工程机械,,,,,23
IND_SW_630504,Industry,industry,SW_630504,,,,,19
IND_SW_490101,Industry,industry,证券Ⅱ,,,,,50
IND_SW_330102,Industry,industry,SW_330102,,,,,3
IND_SW_630803,Industry,industry,SW_630803,,,,,28
IND_SW_610101,Industry,industry,水泥,,,,,14
IND_SW_370302,Industry,industry,SW_370302,,,,,7
IND_SW_330601,Industry,industry,家电零部件Ⅱ,,,,,35
IND_SW_410301,Industry,industry,燃气Ⅱ,,,,,31
IND_SW_240603,Industry,industry,能源金属,,,,,8
IND_SW_640101,Industry,industry,SW_640101,,,,,19
IND_SW_490305,Industry,industry,SW_490305,,,,,3
IND_SW_450303,Industry,industry,SW_450303,,,,,15
IND_SW_220403,Industry,industry,SW_220403,,,,,4
IND_SW_220801,Industry,industry,SW_220801,,,,,6
IND_SW_370201,Industry,industry,中药Ⅱ,,,,,69
IND_SW_460901,Industry,industry,酒店餐饮,,,,,5
IND_SW_420901,Industry,industry,铁路公路,,,,,20
IND_SW_461003,Industry,industry,旅游及景区,,,,,13
IND_SW_360102,Industry,industry,SW_360102,,,,,10
IND_SW_620306,Industry,industry,基础建设,,,,,24
IND_SW_450301,Industry,industry,一般零售,,,,,22
IND_SW_710401,Industry,industry,软件开发,,,,,102
IND_SW_370605,Industry,industry,SW_370605,,,,,2
IND_SW_240401,Industry,industry,贵金属,,,,,10
IND_SW_220202,Industry,industry,化学原料,,,,,14
IND_SW_370604,Industry,industry,SW_370604,,,,,15
IND_SW_370304,Industry,industry,生物制品,,,,,34
IND_SW_650301,Industry,industry,地面兵装Ⅱ,,,,,12
IND_SW_421101,Industry,industry,航运港口,,,,,19
IND_SW_461004,Industry,industry,SW_461004,,,,,6
IND_SW_220803,Industry,industry,农化制品,,,,,32
IND_SW_461102,Industry,industry,教育,,,,,11
IND_SW_340401,Industry,industry,SW_340401,,,,,7
IND_SW_640105,Industry,industry,SW_640105,,,,,17
IND_SW_490307,Industry,industry,SW_490307,,,,,4
IND_SW_630801,Industry,industry,SW_630801,,,,,29
IND_SW_330501,Industry,industry,照明设备Ⅱ,,,,,14
IND_SW_760102,Industry,industry,环境治理,,,,,51
IND_SW_220206,Industry,industry,SW_220206,,,,,6
IND_SW_650501,Industry,industry,军工电子Ⅱ,,,,,64
IND_SW_280601,Industry,industry,商用车,,,,,8
IND_SW_760201,Industry,industry,环保设备Ⅱ,,,,,28
IND_SW_740101,Industry,industry,煤炭开采,,,,,18
IND_SW_420903,Industry,industry,SW_420903,,,,,7
IND_SW_430302,Industry,industry,SW_430302,,,,,3
IND_SW_650201,Industry,industry,航空装备Ⅱ,,,,,48
IND_SW_490304,Industry,industry,SW_490304,,,,,3
IND_SW_220305,Industry,industry,SW_220305,,,,,16
IND_SW_340501,Industry,industry,白酒Ⅱ,,,,,20
IND_SW_280502,Industry,industry,乘用车,,,,,5
IND_SW_280204,Industry,industry,SW_280204,,,,,22
IND_SW_410106,Industry,industry,SW_410106,,,,,13
IND_SW_110301,Industry,industry,SW_110301,,,,,4
IND_SW_410102,Industry,industry,SW_410102,,,,,11
IND_SW_720502,Industry,industry,SW_720502,,,,,3
IND_SW_240301,Industry,industry,工业金属,,,,,31
IND_SW_770302,Industry,industry,SW_770302,,,,,1
IND_SW_490302,Industry,industry,多元金融,,,,,9
IND_SW_420802,Industry,industry,物流,,,,,13
IND_SW_620101,Industry,industry,房屋建设Ⅱ,,,,,8
IND_SW_230302,Industry,industry,SW_230302,,,,,3
IND_SW_240302,Industry,industry,SW_240302,,,,,16
IND_SW_240201,Industry,industry,金属新材料,,,,,18
IND_SW_270203,Industry,industry,SW_270203,,,,,18
IND_SW_750303,Industry,industry,炼化及贸易,,,,,14
IND_SW_340407,Industry,industry,SW_340407,,,,,9
IND_SW_230301,Industry,industry,冶钢原料,,,,,6
IND_SW_240502,Industry,industry,SW_240502,,,,,4
IND_SW_360204,Industry,industry,SW_360204,,,,,8
IND_SW_720501,Industry,industry,广告营销,,,,,24
IND_SW_720703,Industry,industry,SW_720703,,,,,1
IND_SW_220201,Industry,industry,SW_220201,,,,,5
IND_SW_220204,Industry,industry,SW_220204,,,,,16
IND_SW_410104,Industry,industry,SW_410104,,,,,18
IND_SW_280202,Industry,industry,SW_280202,,,,,41
IND_SW_280302,Industry,industry,SW_280302,,,,,6
IND_SW_110402,Industry,industry,饲料,,,,,10
IND_SW_230501,Industry,industry,特钢Ⅱ,,,,,12
IND_SW_230402,Industry,industry,普钢,,,,,17
IND_SW_370602,Industry,industry,SW_370602,,,,,5
IND_SW_110101,Industry,industry,种植业,,,,,10
IND_SW_340801,Industry,industry,休闲食品,,,,,11
IND_SW_230401,Industry,industry,SW_230401,,,,,3
IND_SW_720902,Industry,industry,出版,,,,,19
IND_SW_630805,Industry,industry,电网设备,,,,,40
IND_SW_460902,Industry,industry,SW_460902,,,,,4
IND_SW_740201,Industry,industry,焦炭Ⅱ,,,,,7
IND_SW_350102,Industry,industry,SW_350102,,,,,8
IND_SW_340601,Industry,industry,SW_340601,,,,,7
IND_SW_370101,Industry,industry,SW_370101,,,,,47
IND_SW_280303,Industry,industry,汽车服务,,,,,5
IND_SW_450302,Industry,industry,SW_450302,,,,,7
IND_SW_230403,Industry,industry,SW_230403,,,,,3
IND_SW_620601,Industry,industry,工程咨询服务Ⅱ,,,,,47
IND_SW_220406,Industry,industry,SW_220406,,,,,5
IND_SW_220804,Industry,industry,SW_220804,,,,,3
IND_SW_240202,Industry,industry,SW_240202,,,,,14
IND_SW_110201,Industry,industry,SW_110201,,,,,2
IND_SW_330202,Industry,industry,黑色家电,,,,,6
IND_SW_720601,Industry,industry,影视院线,,,,,15
IND_SW_360205,Industry,industry,包装印刷,,,,,22
IND_SW_630505,Industry,industry,SW_630505,,,,,12
IND_SW_270202,Industry,industry,元件,,,,,44
IND_SW_450401,Industry,industry,专业连锁Ⅱ,,,,,7
IND_SW_220205,Industry,industry,SW_220205,,,,,8
IND_SW_240501,Industry,industry,SW_240501,,,,,5
IND_SW_730104,Industry,industry,SW_730104,,,,,17
IND_SW_340701,Industry,industry,SW_340701,,,,,8
IND_SW_640203,Industry,industry,SW_640203,,,,,58
IND_SW_640209,Industry,industry,专用设备,,,,,90
IND_SW_220505,Industry,industry,塑料,,,,,20
IND_SW_280602,Industry,industry,SW_280602,,,,,5
IND_SW_340602,Industry,industry,非白酒,,,,,9
IND_SW_410110,Industry,industry,SW_410110,,,,,15
IND_SW_220309,Industry,industry,化学制品,,,,,80
IND_SW_280205,Industry,industry,SW_280205,,,,,56
IND_SW_730103,Industry,industry,通信服务,,,,,20
IND_SW_280206,Industry,industry,SW_280206,,,,,37
IND_SW_220805,Industry,industry,SW_220805,,,,,10
IND_SW_360306,Industry,industry,SW_360306,,,,,13
IND_SW_110504,Industry,industry,农产品加工,,,,,12
IND_SW_280402,Industry,industry,摩托车及其他,,,,,9
IND_SW_630101,Industry,industry,电机Ⅱ,,,,,26
IND_SW_220401,Industry,industry,化学纤维,,,,,10
IND_SW_740102,Industry,industry,SW_740102,,,,,12
IND_SW_350106,Industry,industry,纺织制造,,,,,15
IND_SW_490308,Industry,industry,SW_490308,,,,,1
IND_SW_240504,Industry,industry,小金属,,,,,15
IND_SW_750101,Industry,industry,SW_750101,,,,,4
IND_SW_110501,Industry,industry,SW_110501,,,,,6
IND_SW_640703,Industry,industry,SW_640703,,,,,10
IND_SW_770101,Industry,industry,个护用品,,,,,8
IND_SW_220603,Industry,industry,SW_220603,,,,,6
IND_SW_350209,Industry,industry,服装家纺,,,,,38
IND_SW_360311,Industry,industry,家居用品,,,,,24
IND_SW_340406,Industry,industry,食品加工,,,,,11
IND_SW_340802,Industry,industry,SW_340802,,,,,9
IND_SW_360502,Industry,industry,文娱用品,,,,,17
IND_SW_640704,Industry,industry,SW_640704,,,,,25
IND_SW_640602,Industry,industry,SW_640602,,,,,12
IND_SW_480401,Industry,industry,城商行Ⅱ,,,,,17
IND_SW_420805,Industry,industry,SW_420805,,,,,12
IND_SW_350208,Industry,industry,SW_350208,,,,,4
IND_SW_490303,Industry,industry,SW_490303,,,,,4
IND_SW_220504,Industry,industry,SW_220504,,,,,14
IND_SW_640208,Industry,industry,SW_640208,,,,,12
IND_SW_330301,Industry,industry,小家电,,,,,10
IND_SW_640702,Industry,industry,自动化设备,,,,,30
IND_SW_360202,Industry,industry,SW_360202,,,,,4
