:START_ID,:END_ID,:TYPE,relation,share_ratio:double,share_amount:double,guarantee_count:double,guarantee_amount:double,same_controller:boolean,source,report_date
CO_000001,IND_SW_480301,belongs_to,belongs_to,,,,,,CO_000001,
CO_000002,IND_SW_430101,belongs_to,belongs_to,,,,,,CO_000002,
CO_000002,CO_000002,GUARANTEES,GUARANTEES,,,79.0,35483608.45,False,CO_000002,
CO_000004,IND_SW_710402,belongs_to,belongs_to,,,,,,CO_000004,
CO_000006,IND_SW_430101,belongs_to,belongs_to,,,,,,CO_000006,
CO_000006,CO_000006,GUARANTEES,GUARANTEES,,,9.0,326800.0,False,CO_000006,
CO_000007,IND_SW_450304,belongs_to,belongs_to,,,,,,CO_000007,
CO_000007,CO_000007,GUARANTEES,GUARANTEES,,,5.0,13460.0,False,CO_000007,
CO_000008,IND_SW_640501,belongs_to,belongs_to,,,,,,CO_000008,
CO_000008,CO_000008,GUARANTEES,GUARANTEES,,,78.0,1128015.0,False,CO_000008,
CO_000009,IND_SW_630702,belongs_to,belongs_to,,,,,,CO_000009,
CO_000009,CO_600993,OWNS_SHARES,OWNS_SHARES,29.2686,126163313.0,,,True,CO_000009,20250930
CO_000009,CO_920185,OWNS_SHARES,OWNS_SHARES,23.9004,266889511.0,,,False,CO_000009,20250930
CO_000009,CO_000009,GUARANTEES,GUARANTEES,,,19.0,1683649.0,False,CO_000009,
CO_000010,IND_SW_620307,belongs_to,belongs_to,,,,,,CO_000010,
CO_000010,CO_000010,GUARANTEES,GUARANTEES,,,9.0,205000.0,False,CO_000010,
CO_000011,IND_SW_430101,belongs_to,belongs_to,,,,,,CO_000011,
CO_000011,CO_000011,GUARANTEES,GUARANTEES,,,6.0,607300.0,False,CO_000011,
CO_000012,IND_SW_610201,belongs_to,belongs_to,,,,,,CO_000012,
CO_000012,CO_000012,GUARANTEES,GUARANTEES,,,2.0,5020000.0,False,CO_000012,
CO_000014,IND_SW_430101,belongs_to,belongs_to,,,,,,CO_000014,
CO_000014,CO_000014,GUARANTEES,GUARANTEES,,,4.0,180000.0,False,CO_000014,
CO_000016,IND_SW_330106,belongs_to,belongs_to,,,,,,CO_000016,
CO_000016,CO_301127,OWNS_SHARES,OWNS_SHARES,14.5634,86183957.0,,,False,CO_000016,20250930
CO_000016,CO_003040,OWNS_SHARES,OWNS_SHARES,6.0498,27897662.0,,,False,CO_000016,20250930
CO_000016,CO_000016,GUARANTEES,GUARANTEES,,,44.0,232280.77,False,CO_000016,
CO_000017,IND_SW_350301,belongs_to,belongs_to,,,,,,CO_000017,
CO_000017,CO_000017,GUARANTEES,GUARANTEES,,,3.0,36000.0,False,CO_000017,
CO_000019,IND_SW_110502,belongs_to,belongs_to,,,,,,CO_000019,
CO_000020,IND_SW_270301,belongs_to,belongs_to,,,,,,CO_000020,
CO_000021,IND_SW_270504,belongs_to,belongs_to,,,,,,CO_000021,
CO_000021,CO_002855,OWNS_SHARES,OWNS_SHARES,2.2431,5527400.0,,,False,CO_000021,20250930
CO_000021,CO_920029,OWNS_SHARES,OWNS_SHARES,69.7211,70000000.0,,,True,CO_000021,20250930
CO_000021,CO_301013,OWNS_SHARES,OWNS_SHARES,0.8796,2056000.0,,,False,CO_000021,20240930
CO_000021,CO_000021,GUARANTEES,GUARANTEES,,,27.0,1433800.0,False,CO_000021,
CO_000025,IND_SW_510101,belongs_to,belongs_to,,,,,,CO_000025,
CO_000026,IND_SW_350301,belongs_to,belongs_to,,,,,,CO_000026,
CO_000026,CO_000026,GUARANTEES,GUARANTEES,,,12.0,89000.0,False,CO_000026,
CO_000027,IND_SW_410101,belongs_to,belongs_to,,,,,,CO_000027,
CO_000027,CO_002939,OWNS_SHARES,OWNS_SHARES,9.7653,393972330.0,,,False,CO_000027,20250930
CO_000027,CO_000601,OWNS_SHARES,OWNS_SHARES,1.539,16629750.0,,,False,CO_000027,20250930
CO_000027,CO_600137,OWNS_SHARES,OWNS_SHARES,1.1104,1079477.0,,,False,CO_000027,20250930
CO_000027,CO_000593,OWNS_SHARES,OWNS_SHARES,0.4294,1540000.0,,,False,CO_000027,20250331
CO_000027,CO_601211,OWNS_SHARES,OWNS_SHARES,1.7347,154455909.0,,,False,CO_000027,20241231
CO_000028,IND_SW_370402,belongs_to,belongs_to,,,,,,CO_000028,
CO_000028,CO_600420,OWNS_SHARES,OWNS_SHARES,12.4624,167142202.0,,,True,CO_000028,20250930
CO_000028,CO_000028,GUARANTEES,GUARANTEES,,,261.0,1468424.0,False,CO_000028,
CO_000029,IND_SW_430101,belongs_to,belongs_to,,,,,,CO_000029,
CO_000030,IND_SW_280203,belongs_to,belongs_to,,,,,,CO_000030,
CO_000030,CO_600742,OWNS_SHARES,OWNS_SHARES,8.0021,59460074.0,,,False,CO_000030,20250930
CO_000031,IND_SW_430102,belongs_to,belongs_to,,,,,,CO_000031,
CO_000031,CO_000031,GUARANTEES,GUARANTEES,,,51.0,7554892.84,False,CO_000031,
CO_000032,IND_SW_620404,belongs_to,belongs_to,,,,,,CO_000032,
CO_000032,CO_000032,GUARANTEES,GUARANTEES,,,3.0,90000.0,False,CO_000032,
CO_000034,IND_SW_710301,belongs_to,belongs_to,,,,,,CO_000034,
CO_000034,CO_000034,GUARANTEES,GUARANTEES,,,333.0,30454502.99,False,CO_000034,
CO_000035,IND_SW_760103,belongs_to,belongs_to,,,,,,CO_000035,
CO_000035,CO_000035,GUARANTEES,GUARANTEES,,,52.0,93996858.1,False,CO_000035,
CO_000036,IND_SW_430101,belongs_to,belongs_to,,,,,,CO_000036,
CO_000036,CO_000036,GUARANTEES,GUARANTEES,,,1.0,50000.0,False,CO_000036,
CO_000037,IND_SW_410101,belongs_to,belongs_to,,,,,,CO_000037,
CO_000037,CO_000037,GUARANTEES,GUARANTEES,,,6.0,48000.0,False,CO_000037,
CO_000039,IND_SW_640108,belongs_to,belongs_to,,,,,,CO_000039,
CO_000039,CO_301039,OWNS_SHARES,OWNS_SHARES,38.8685,728443475.0,,,True,CO_000039,20250930
CO_000039,CO_002960,OWNS_SHARES,OWNS_SHARES,8.9686,77967512.0,,,True,CO_000039,20250930
CO_000039,CO_000039,GUARANTEES,GUARANTEES,,,24.0,8368000.0,False,CO_000039,
CO_000042,IND_SW_430101,belongs_to,belongs_to,,,,,,CO_000042,
CO_000042,CO_000042,GUARANTEES,GUARANTEES,,,17.0,2109800.0,False,CO_000042,
CO_000045,IND_SW_270301,belongs_to,belongs_to,,,,,,CO_000045,
CO_000048,IND_SW_110702,belongs_to,belongs_to,,,,,,CO_000048,
CO_000048,CO_000048,GUARANTEES,GUARANTEES,,,46.0,622200.0,False,CO_000048,
CO_000049,IND_SW_630701,belongs_to,belongs_to,,,,,,CO_000049,
CO_000049,CO_000049,GUARANTEES,GUARANTEES,,,17.0,3729370.0,False,CO_000049,
CO_000050,IND_SW_270301,belongs_to,belongs_to,,,,,,CO_000050,
CO_000050,CO_000050,GUARANTEES,GUARANTEES,,,1.0,54000.0,False,CO_000050,
CO_000055,IND_SW_610303,belongs_to,belongs_to,,,,,,CO_000055,
CO_000055,CO_000055,GUARANTEES,GUARANTEES,,,10.0,1540000.0,False,CO_000055,
CO_000056,IND_SW_430301,belongs_to,belongs_to,,,,,,CO_000056,
CO_000058,IND_SW_450304,belongs_to,belongs_to,,,,,,CO_000058,
